Date,Open,High,Low,Close
02/20/2020,261.72,266.57,247.34,259.63
02/19/2020,281.16,287,252.1,262.99
02/18/2020,260.4,286.25,259.08,280.87
02/17/2020,252,263.24,243.05,260.41
02/16/2020,268.28,273.82,238,251.9
02/15/2020,282.83,288.94,261,268.28
02/14/2020,262.76,285.93,260.54,282.92
02/13/2020,270,277.9,257,262.8
02/12/2020,237.34,275.57,236.55,270
02/11/2020,222.57,239.48,217.7,237.2
02/10/2020,225.2,229.4,217,222.31
02/09/2020,223.2,230.67,221.84,225.2
02/08/2020,219.42,227.94,213.44,223.21
02/07/2020,213.35,224.49,210.57,219.42
02/06/2020,206.72,216.07,201.21,213.35
02/05/2020,187.39,207.8,187.2,206.36
02/04/2020,189.48,191.28,184,187.38
02/03/2020,191.41,195,186.43,189.48
02/02/2020,182.31,193.16,179.41,191.67
02/01/2020,180.68,184,178.84,182.3
01/31/2020,184.96,186.6,175.12,180.64
01/30/2020,175.69,185,170.5,184.77
01/29/2020,172.36,178.53,172.2,175.82
01/28/2020,171.13,174.86,169.22,172.37
01/27/2020,166.97,171.75,165.07,171.11
01/26/2020,161.37,167.36,159.12,167.11
01/25/2020,163.1,163.67,157.51,161.29
01/24/2020,162.25,164.3,155.35,163.1
01/23/2020,167.55,167.72,159,162.28
01/22/2020,168.91,170.92,165.61,167.55
01/21/2020,166.99,169.58,164.78,168.91
01/20/2020,165.71,167.7,160.97,167.04
01/19/2020,176.46,177.74,161.98,165.71
01/18/2020,170.98,179,164.97,176.46
01/17/2020,163.11,173.48,162.09,170.87
01/16/2020,165.28,167.19,158.87,163.23
01/15/2020,164.62,171.61,159.05,165.28
01/14/2020,144.17,170,143.45,163.72
01/13/2020,144.43,146.99,142.12,144.17
01/12/2020,143.89,145.6,141.74,144.53
01/11/2020,142.96,147.9,141.8,144.11
01/10/2020,136.75,145.03,135.29,142.96
01/09/2020,139.08,141.57,135.33,136.75
01/08/2020,142.54,147.91,137.22,139.12
01/07/2020,141.5,145.26,139.01,142.54
01/06/2020,135.06,142.86,134.01,141.5
01/05/2020,133.93,138.25,133.71,135.28
01/04/2020,132.34,135.58,131.94,133.93
01/03/2020,127.44,134.58,125.43,132.34
01/02/2020,131.52,131.52,126.18,127.44
01/01/2020,128.41,132.86,127.93,131.52
12/31/2019,131.59,133.28,127.79,128.45
12/30/2019,134.77,136,129.96,131.66
12/29/2019,128.3,137.64,127.4,134.64
12/28/2019,125.5,129.58,125.5,128.3
12/27/2019,126.14,126.66,122.57,125.52
12/26/2019,125.26,131.96,124.19,126.16
12/25/2019,128.14,128.14,123.38,125.26
12/24/2019,127.16,129.46,126.1,128.14
12/23/2019,132.49,135.1,126.3,127.25
12/22/2019,127.02,133.19,127,132.49
12/21/2019,128.2,128.44,126.68,127.02
12/20/2019,126.6,129.37,126,128.2
12/19/2019,130.55,133.99,125.77,126.6
12/18/2019,121.95,132.27,116.1,130.39
12/17/2019,131.52,132.74,120.45,121.95
12/16/2019,142.73,142.84,130,131.52
12/15/2019,142.09,143.85,139.96,142.73
12/14/2019,144.19,145.05,141.18,142.09
12/13/2019,144.68,145.09,142.73,144.19
12/12/2019,142.67,145.73,139.54,144.74
12/11/2019,144.94,146.22,142.11,142.67
12/10/2019,147.46,147.92,143.94,144.94
12/09/2019,151.24,151.64,146.76,147.46
12/08/2019,147.21,151.9,146.5,151.24
12/07/2019,148.57,149.79,147.14,147.21
12/06/2019,148,148.92,146.31,148.38
12/05/2019,145.12,148.85,143.92,148.01
12/04/2019,147.89,151.55,143.25,145.12
12/03/2019,148.57,149.95,146.07,147.89
12/02/2019,151.21,152.19,147,148.57
12/01/2019,152,152.74,146,150.99
11/30/2019,152.56,155.29,150.02,152
11/29/2019,152.28,157.62,149.5,152.56
11/28/2019,153.67,154.82,150.36,152.28
11/27/2019,148.08,155.87,141.16,153.67
11/26/2019,148.03,149.7,143.82,148.08
11/25/2019,144.04,151.77,132.2,148.1
11/24/2019,151.17,153.16,141.68,144.16
11/23/2019,153.35,153.9,146.5,151.17
11/22/2019,159.42,162.82,138.93,152.98
11/21/2019,175.02,175.62,157.31,159.86
11/20/2019,174.39,177.2,173.28,175.16
11/19/2019,178.31,178.58,172.7,174.4
11/18/2019,185.21,185.21,174.4,178.31
11/17/2019,183.1,186,180.02,185.21
11/16/2019,179.56,183.16,179.17,183.1
11/15/2019,184.9,186.21,177.66,179.55
11/14/2019,187.31,188.69,182.89,184.9
11/13/2019,186.13,189.14,185.12,187.23
11/12/2019,185.97,187.25,182.09,186.13
11/11/2019,189.68,190.38,184.69,185.97
11/10/2019,184.7,191.6,183.41,189.56
11/09/2019,185.51,185.65,182.8,184.7
11/08/2019,186.5,188.16,181.1,185.51
11/07/2019,190.52,192.13,184.4,186.5
11/06/2019,190.14,194.22,188,190.51
11/05/2019,186.36,191.74,182.62,190.13
11/04/2019,180.76,188.84,180.44,186.36
11/03/2019,183.14,184.93,179.01,180.71
11/02/2019,184.48,185.67,182.08,183.13
11/01/2019,181.18,184.52,178.49,184.48
10/31/2019,183.06,185.55,178.22,181.23
10/30/2019,191.43,193,180.52,183.06
10/29/2019,184.63,193.08,181.79,191.73
10/28/2019,186.52,189.8,180.84,183.99
10/27/2019,178.93,189.14,176.94,186.5
10/26/2019,180.98,198.63,174.03,178.94
10/25/2019,161.01,187.62,160,180.98
10/24/2019,160.48,163.88,158.99,160.89
10/23/2019,172.28,172.92,153.24,160.48
10/22/2019,173.71,175.39,170.79,172.32
10/21/2019,174.83,178.34,171.83,173.69
10/20/2019,171.66,176.56,169.67,174.83
10/19/2019,174.05,175.03,170.06,171.53
10/18/2019,176.27,177.48,168.58,174.03
10/17/2019,174.39,179.09,172.78,176.32
10/16/2019,178.15,180.93,172.01,174.32
10/15/2019,186.92,188.66,177.99,178.71
10/14/2019,180.76,187.54,180.1,187.1
10/13/2019,180.48,184.84,179,180.8
10/12/2019,181.72,184.71,177.86,180.48
10/11/2019,192.25,197.01,180.05,181.8
10/10/2019,192.58,195.72,188,192.18
10/09/2019,177.54,194.7,177.54,192.66
10/08/2019,178.98,185.34,177.66,177.66
10/07/2019,171.24,182.55,168.59,178.98
10/06/2019,175.23,177.17,168,171.13
10/05/2019,177.41,177.58,172.14,175.23
10/04/2019,172.75,179.35,171.15,177.41
10/03/2019,177.08,181.45,170.64,172.75
10/02/2019,177.69,178.74,174.1,177.08
10/01/2019,176.92,185.79,174.35,177.69
09/30/2019,168.61,180.67,165.26,176.92
09/29/2019,174.41,175.22,165.12,168.61
09/28/2019,170.91,177.1,168.62,174.41
09/27/2019,164,171.76,161.42,170.98
09/26/2019,170.27,173.13,153,164
09/25/2019,164.88,174.92,162.71,170.6
09/24/2019,204.82,204.82,155.03,165.83
09/23/2019,208.22,212,204.68,204.68
09/22/2019,215.9,216.73,206.13,208.22
09/21/2019,216.29,221.51,214,215.9
09/20/2019,219.8,222.96,212.38,216.29
09/19/2019,211.3,224.06,202.77,219.8
09/18/2019,213.04,217.68,207.23,211.31
09/17/2019,199.07,214.03,196.1,213.18
09/16/2019,189.18,199.22,188.43,199.03
09/15/2019,188.39,190.99,186.6,189.18
09/14/2019,180.98,189.26,180.23,188.39
09/13/2019,180.03,182.65,177.62,180.97
